x : y : Z 
0.078, 2.175, 9.282
0.078, 2.175, 9.282
0.174, 2.184, 8.861
0.04, 2.424, 8.583
0.04, 2.424, 8.583
0.04, 2.424, 8.583
-0.075, 2.52, 8.315
-0.075, 2.52, 8.315
-0.008, 2.548, 8.306
0.04, 2.577, 8.353
0.126, 2.472, 8.507
0.126, 2.472, 8.507
0.164, 2.462, 8.459
0.164, 2.462, 8.459
0.145, 2.386, 8.392
0.346, 2.414, 8.325
0.346, 2.414, 8.325
0.509, 2.366, 8.507
0.509, 2.366, 8.507
0.71, 2.319, 8.631
0.71, 2.319, 8.631
0.71, 2.319, 8.631
0.71, 2.261, 8.612
0.643, 2.366, 8.65
0.643, 2.366, 8.65
0.433, 2.357, 8.67
0.356, 2.424, 8.574
0.279, 2.501, 8.488
0.279, 2.501, 8.488
0.346, 2.548, 8.488
0.346, 2.548, 8.488
0.48, 2.615, 8.564
0.5, 2.539, 8.698
0.404, 2.606, 8.708
0.327, 2.625, 8.593
0.251, 2.73, 8.564
0.251, 2.73, 8.564
0.174, 2.807, 8.689
0.222, 2.807, 8.909
0.222, 2.807, 8.909
0.327, 2.721, 8.947
0.327, 2.721, 8.947
0.366, 2.682, 9.168
0.366, 2.682, 9.168
0.433, 2.644, 9.11
0.327, 2.769, 8.765
0.327, 2.769, 8.765
0.327, 2.817, 8.555
0.279, 2.912, 8.392
0.356, 2.941, 8.43
0.356, 2.941, 8.43
0.49, 2.999, 8.267
0.538, 2.941, 8.229
0.538, 2.941, 8.229
0.701, 2.903, 8.143
0.701, 2.903, 8.143
0.758, 2.864, 8.076
0.806, 2.874, 8.037
0.806, 2.874, 8.037
0.902, 2.778, 8.325
0.902, 2.778, 8.325
0.969, 2.759, 8.488
1.074, 2.702, 8.65
1.074, 2.702, 8.65
1.132, 2.673, 8.784
1.17, 2.663, 8.842
1.065, 2.625, 8.765
1.065, 2.625, 8.765
0.959, 2.644, 8.746
0.768, 2.692, 8.784
0.768, 2.692, 8.784
0.682, 2.721, 8.612
0.605, 2.692, 8.717
0.548, 2.759, 8.612
0.528, 2.769, 8.784
0.557, 2.769, 8.526
0.557, 2.769, 8.526
0.509, 2.74, 8.421
0.509, 2.74, 8.421
0.375, 2.75, 8.325
0.375, 2.75, 8.325
0.346, 2.797, 8.009
0.299, 2.75, 7.875
0.299, 2.75, 7.875
0.308, 2.759, 7.951
0.26, 2.654, 8.124
0.346, 2.548, 8.411
0.375, 2.453, 8.813
0.375, 2.453, 8.813
0.519, 2.299, 9.235
0.519, 2.299, 9.235
0.662, 2.232, 9.503
0.662, 2.232, 9.503
0.806, 1.974, 9.589
0.988, 1.821, 9.57
1.18, 1.782, 9.397
1.18, 1.782, 9.397
1.295, 1.725, 9.33
1.429, 1.706, 9.139
1.429, 1.706, 9.139
1.342, 1.61, 8.813
1.218, 1.715, 8.737
1.218, 1.715, 8.737
1.084, 1.821, 8.593
0.892, 1.897, 8.411
0.892, 1.897, 8.411
0.662, 2.022, 8.229
0.346, 2.108, 8.162
0.03, 2.271, 8.152
0.03, 2.271, 8.152
-0.113, 2.453, 8.057
-0.113, 2.453, 8.057
-0.39, 2.759, 8.028
-0.39, 2.759, 8.028
-0.543, 2.874, 8.037
-0.543, 2.874, 8.037
-0.697, 2.836, 8.124
-0.697, 2.836, 8.124
-0.697, 2.702, 8.239
-0.697, 2.577, 8.516
-0.725, 2.453, 9.005
-0.725, 2.453, 9.005
-0.668, 2.252, 9.426
-0.553, 2.012, 9.666
-0.553, 2.012, 9.666
-0.467, 1.744, 9.656
-0.495, 1.648, 9.378
-0.467, 1.61, 9.187
-0.467, 1.61, 9.187
-0.591, 1.639, 9.014
-0.744, 1.734, 9.024
-0.744, 1.734, 9.024
-0.974, 1.744, 9.11
-0.974, 1.744, 9.11
-1.089, 1.753, 8.938
-1.089, 1.753, 8.938
-1.051, 1.715, 8.737
-1.051, 1.715, 8.737
-1.022, 1.639, 8.507
-0.974, 1.648, 8.478
-0.936, 1.677, 8.564
-0.936, 1.677, 8.564
-0.859, 1.648, 8.679
-0.783, 1.562, 8.727
-0.783, 1.562, 8.727
-0.658, 1.572, 8.545
-0.534, 1.533, 8.392
-0.448, 1.495, 8.277
-0.448, 1.495, 8.277
-0.313, 1.447, 8.344
-0.208, 1.351, 8.392
-0.208, 1.351, 8.392
-0.208, 1.399, 8.765
-0.208, 1.399, 8.765
-0.246, 1.428, 8.976
-0.313, 1.619, 9.072
-0.38, 1.878, 9.177
-0.38, 1.878, 9.177
-0.467, 1.926, 9.282
-0.467, 1.926, 9.282
-0.457, 1.849, 9.349
-0.457, 1.849, 9.349
-0.467, 1.983, 9.503
-0.486, 1.907, 9.531
-0.467, 1.916, 9.608
-0.467, 1.916, 9.608
-0.524, 2.003, 9.531
-0.524, 2.003, 9.531
-0.582, 2.022, 9.56
-0.562, 1.916, 9.637
-0.553, 1.849, 9.828
-0.553, 1.849, 9.828
-0.534, 1.821, 10.029
-0.534, 1.821, 10.029
-0.448, 1.686, 10.173
-0.486, 1.619, 10.173
-0.505, 1.533, 10.029
-0.505, 1.533, 10.029
-0.505, 1.533, 10.097
-0.505, 1.552, 9.618
-0.505, 1.552, 9.618
-0.524, 1.543, 9.196
-0.629, 1.562, 9.1
-0.629, 1.562, 9.1
-0.658, 1.6, 8.986
-0.658, 1.6, 8.986
-0.687, 1.639, 8.899
-0.687, 1.639, 8.899
-0.687, 1.629, 8.919
-0.716, 1.706, 8.737
-0.716, 1.706, 8.737
-0.668, 1.648, 8.66
-0.639, 1.648, 8.89
-0.639, 1.658, 8.871
-0.428, 1.437, 8.832
-0.352, 1.399, 8.583
-0.352, 1.399, 8.583
-0.342, 1.332, 8.411
-0.38, 1.457, 8.219
-0.38, 1.457, 8.219
-0.467, 1.524, 8.171
-0.476, 1.533, 8.085
-0.476, 1.533, 8.085
-0.448, 1.476, 8.104
-0.419, 1.409, 8.133
-0.323, 1.294, 8.114
-0.323, 1.294, 8.114
-0.333, 1.255, 8.219
-0.333, 1.255, 8.219
-0.294, 1.246, 8.296
-0.266, 1.246, 8.459
-0.266, 1.246, 8.459
-0.275, 1.227, 8.516
-0.256, 1.15, 8.593
-0.266, 1.227, 8.727
-0.266, 1.227, 8.727
-0.323, 1.217, 8.842
-0.323, 1.217, 8.842
-0.361, 1.303, 8.784
-0.448, 1.313, 8.775
-0.543, 1.409, 8.823
-0.543, 1.409, 8.823
-0.591, 1.409, 9.177
-0.687, 1.457, 9.522
-0.687, 1.457, 9.522
-0.783, 1.457, 9.531
-0.888, 1.418, 9.512
-0.888, 1.418, 9.512
-0.917, 1.457, 9.359
-0.974, 1.533, 8.555
-0.974, 1.533, 8.555
-0.974, 1.533, 8.555
-0.993, 1.524, 8.114
-0.85, 1.572, 8.095
-0.85, 1.572, 8.095
-0.84, 1.409, 8.44
-0.821, 1.188, 8.938
-0.821, 1.188, 8.938
-0.744, 1.026, 9.455
-0.677, 0.882, 9.733
-0.658, 0.901, 9.8
-0.658, 0.901, 9.8
-0.591, 0.978, 9.78
-0.553, 1.083, 9.474
-0.601, 1.035, 9.33
-0.601, 1.035, 9.33
-0.629, 0.997, 9.158
-0.658, 1.074, 9.11
-0.658, 1.074, 9.11
-0.639, 1.093, 9.235
-0.639, 1.093, 9.235
-0.62, 1.16, 9.273
-0.62, 1.236, 9.369
-0.572, 1.112, 9.321
-0.534, 1.179, 9.053
-0.534, 1.179, 9.053
-0.467, 1.188, 8.823
-0.476, 1.236, 8.622
-0.476, 1.236, 8.622
-0.534, 1.332, 8.488
-0.582, 1.351, 8.363
-0.543, 1.38, 8.449
